id,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,mfcc21_mean,mfcc21_std,mfcc22_mean,mfcc22_std,mfcc23_mean,mfcc23_std,mfcc24_mean,mfcc24_std,mfcc25_mean,mfcc25_std,mfcc26_mean,mfcc26_std,mfcc27_mean,mfcc27_std,mfcc28_mean,mfcc28_std,mfcc29_mean,mfcc29_std,mfcc30_mean,mfcc30_std,mfcc31_mean,mfcc31_std,mfcc32_mean,mfcc32_std,mfcc33_mean,mfcc33_std,mfcc34_mean,mfcc34_std,mfcc35_mean,mfcc35_std,mfcc36_mean,mfcc36_std,mfcc37_mean,mfcc37_std,mfcc38_mean,mfcc38_std,mfcc39_mean,mfcc39_std,mfcc40_mean,mfcc40_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std,tonnetz1_mean,tonnetz1_std,tonnetz2_mean,tonnetz2_std,tonnetz3_mean,tonnetz3_std,tonnetz4_mean,tonnetz4_std,tonnetz5_mean,tonnetz5_std,tonnetz6_mean,tonnetz6_std,chroma_cqt_mean,chroma_cqt_std,spectral_contrast_mean,spectral_contrast_std
337740348375830528,0.056062695,0.029377386,1479.027782409282,877.7222457200791,2037.6958700975827,800.5352831359694,2544.1854010855604,2070.861155652537,0.03705214256729157,0.03267718167386627,-323.40228,84.42119,160.132,35.35298,-1.3085251,29.378979,0.61837614,18.774136,-0.615077,14.798824,1.829227,12.737688,-9.3598175,11.49849,-6.6046424,12.760086,-9.460798,11.9286,-5.434107,13.023864,-10.342712,11.932716,-8.128433,12.201683,-4.8074174,13.321131,-7.8685126,13.230203,-9.955075,14.080532,-13.458815,13.234597,-9.590304,12.60916,-9.454878,11.813647,-12.416681,11.618555,-9.802429,12.179854,-4.486083,12.06265,-3.1677103,11.554564,-2.974693,11.280353,-4.02664,11.296694,-1.7773603,11.606919,-4.8962083,10.814079,-5.67728,10.206452,-3.831125,8.968419,-2.4360242,8.248501,-1.6334602,8.452732,-1.3286474,8.101103,-1.4595605,7.2864747,-2.2228956,7.480877,-1.9985125,7.723103,-4.352969,8.6921835,-2.7013016,9.125824,0.71334255,8.825385,1.5396489,10.00504,-1.311277,9.813279,-3.0819578,9.454932,0.2439424,0.24008773,0.3822365,0.39629355,0.20217879,0.19186224,0.26371324,0.2960194,0.29658273,0.3281515,0.25572988,0.23439792,0.33095008,0.3640832,0.24315123,0.21393238,0.36929876,0.36198947,0.31140327,0.31762913,0.2236562,0.24933559,0.23087585,0.30246732,0.002067128028989893,0.26801792380427253,-0.27102992826402783,0.1903739289135572,-0.05245270188198241,0.2275357967845645,0.018284668692733975,0.25451761289510666,0.004689555538367705,0.0931159245505746,0.03356437682491177,0.11256178331893546,0.30922553,0.30329874,24.262846447432953,12.185258839738573
337740363336912896,0.14324157,0.08490656,2285.4612930061403,1069.5713253121644,2958.1984841719486,632.9074261800876,4839.444291064565,2366.397092870745,0.04664185731111612,0.042166979933033026,-198.1753,101.51567,140.19193,34.90131,-8.812191,25.191505,47.0987,20.745031,-4.7300997,19.803503,16.096956,15.189335,-12.351087,14.525385,9.786135,12.132268,-0.08960537,10.378437,-4.4939895,10.548903,0.7621013,10.057445,-1.2969106,9.429189,-6.58834,9.817701,-6.2104273,9.164161,-2.658789,9.175201,-7.6227174,8.237981,-1.1015868,8.706772,-7.18689,8.631449,-2.5603194,8.933238,-4.0698233,8.565652,-2.1879776,9.04774,-1.0077919,9.010265,0.7158289,9.892375,1.8135943,9.658738,4.5068035,10.209605,2.7161307,10.365456,-1.0264348,9.899241,-1.9876624,9.962483,-4.4768534,9.034548,-3.4367425,8.30689,-3.8198082,7.696303,-1.6194372,7.7802553,-3.3639011,7.52881,-2.029188,7.872811,0.5490377,9.482071,2.3462033,9.764564,1.2177749,9.594509,-1.0304015,8.987446,-3.5357018,8.456619,-3.2622051,7.8036323,0.28238422,0.261408,0.28856674,0.28821173,0.30053052,0.2690488,0.3667687,0.3268407,0.40142995,0.2973626,0.46971366,0.33009133,0.47229514,0.33914685,0.3476383,0.28392273,0.313575,0.28887823,0.3175365,0.27066585,0.40581977,0.33604273,0.34372285,0.29397878,-0.09851321690104646,0.21251271271505295,-0.07101839954270409,0.17147888689919202,0.02765802719080845,0.21974275131932977,-0.06183717481844309,0.20818548101163553,0.0059149604437925855,0.0691010164219539,0.013541603330509413,0.08678818735119241,0.37466174,0.29044706,23.744347565523178,14.06173379983834
337740383331160064,0.19420397,0.08661858,2524.839262816521,1338.2474895791706,2994.6968860110605,740.3950925568419,5315.4487025544095,2457.7608746632623,0.05823458702872638,0.06738490200123493,-139.3389,93.11838,148.67665,31.496838,-19.96112,19.210443,47.233707,22.592035,-11.423209,15.598482,21.59663,13.898475,-15.383888,12.302203,11.63474,10.719635,-6.589067,8.213303,0.50438803,9.533115,4.8071165,9.396215,-2.2057278,9.319403,-3.3170888,8.735303,-0.4676381,7.805414,0.8584731,9.487656,0.17001235,7.702098,6.192118,8.722906,-1.0960053,9.047626,1.9183816,8.089462,-5.0464125,7.643864,-2.1317222,7.988485,-3.8819027,7.8171964,1.5725253,8.093566,-0.4629575,8.3023615,0.960107,10.393698,0.43067765,10.246862,3.1591043,9.030767,1.6266419,7.891292,-0.67895573,8.195743,1.120882,7.467239,-1.5748092,6.86967,0.42553815,6.0541053,-2.064937,6.29394,-1.2357949,6.3405247,-4.549588,6.991515,-1.7646722,10.159947,0.5145875,8.545807,3.3873296,6.999841,-0.7549577,7.3710647,-4.037091,7.4704504,0.3552114,0.31081876,0.34749064,0.30637786,0.3025109,0.25539142,0.38542137,0.35311845,0.37481415,0.27985275,0.46689576,0.37347445,0.28356755,0.24947087,0.2284824,0.2227721,0.32762825,0.33035892,0.29538792,0.24453275,0.3897291,0.3557983,0.27729878,0.23645721,-0.17156819224062533,0.10147814977096431,0.034267119931683875,0.13596545906252783,-0.06970340565321416,0.1165863110651886,-0.02266986475215495,0.15774605646854972,-0.0038846937961575156,0.06178777041805426,0.00519415842790157,0.06653682915752737,0.40632418,0.27078566,22.06312155851029,14.341671065240082
337740411672072192,0.16717984,0.098725416,2821.8508376554064,1569.4796090420668,3160.3411716054443,1047.9211704720628,6040.624307600492,3221.4271200932744,0.06674452066298817,0.06836755789645668,-170.25887,108.963776,135.55713,41.372307,-11.946221,22.929525,31.81666,25.263689,-11.889512,16.845587,18.84377,17.633665,-18.45558,15.927695,11.799726,15.984163,-9.459536,12.074731,2.2415388,11.572778,1.1298243,11.507429,2.3301716,11.164955,-6.5942187,12.613749,-4.902074,11.056365,-1.9147243,11.280816,-4.64452,10.027564,0.75440085,10.971008,-1.8442613,10.361208,2.9035473,9.819493,-2.1120276,9.848115,3.4622412,10.029542,-3.2554402,9.924641,3.3579135,11.588476,-0.3414786,10.590606,4.691896,10.599286,2.7461069,11.770459,0.83475024,9.681694,-1.7797316,9.208207,-2.093437,8.941772,-1.136883,7.668066,-3.9903412,8.687476,-1.498013,8.835588,-2.9205782,7.9164476,0.37375277,7.6635213,0.15440205,8.327016,1.7313364,10.044882,-2.309612,11.210031,-1.8469881,8.700444,-4.4618855,8.170547,-0.78159785,8.691629,0.33693883,0.33593786,0.24740101,0.23671748,0.28357217,0.26246127,0.3812406,0.3471883,0.33486098,0.26801935,0.43402398,0.37107792,0.31328723,0.24502286,0.37859583,0.34000298,0.29218778,0.2677311,0.26909357,0.22792062,0.4616511,0.37746653,0.31646335,0.24613371,-0.1246907120624146,0.1547198707027489,0.16141972397276444,0.13655926336689003,0.00963630128656718,0.18091343574920196,-0.02912830313258947,0.1633073767136415,0.004505300931239081,0.0696200010673662,-0.009751901526708318,0.07092044514726355,0.4045477,0.29419664,24.26192270227868,13.855408860488529
337740401572188160,0.09692553,0.06907185,1731.6006767814642,1066.7918993551373,2365.0105127165853,698.5238508933888,3183.0641644029024,2153.7650393690456,0.041887319479586585,0.050012522079306364,-263.99908,115.396194,160.53201,38.825832,-2.439464,37.34979,28.516169,19.408722,-3.07509,15.553144,6.3440423,14.208088,-9.994976,11.158048,1.5876373,13.082034,-1.9950653,11.827495,-5.923276,11.533024,-7.6605062,9.436048,2.1578217,11.908204,-4.0955925,10.385238,-7.7017097,9.223925,2.1453202,9.017098,-5.211645,9.493733,-1.4599932,9.096411,-0.22975834,7.421898,-0.7741545,8.779516,-3.2601135,7.670119,-2.3614204,9.378323,-2.2004116,8.824739,-0.04261042,10.22764,-0.27459067,9.265138,-0.42606947,8.928416,-3.6966288,9.16024,-3.6712847,9.6803875,-0.6746545,8.469271,1.6907392,8.803734,2.6454372,7.7262745,1.0577818,8.612428,2.175319,9.358712,0.8099173,8.845318,0.17614175,8.522949,0.011261377,7.9721622,-1.2978457,9.554986,-5.2845597,10.332157,-4.058236,8.47346,-1.9894216,7.115222,0.51143223,7.284656,0.5166275,0.37290296,0.35461515,0.24307619,0.34210545,0.31164473,0.29582474,0.2833896,0.259385,0.24313068,0.36156553,0.3508145,0.31655487,0.2362455,0.5014294,0.37411025,0.30849153,0.23148136,0.2434798,0.23745032,0.33455133,0.32272756,0.337643,0.24582867,-0.04668934647788018,0.1542571843041318,0.2763943897560628,0.1816817441561429,0.06905980584157612,0.1597438916063764,0.05145737640059976,0.22394685220593233,0.01418572278321063,0.07051274970043747,0.006481209267593784,0.08543039181806536,0.34435967,0.29619244,23.168515074553056,13.224821388269943
337740429015519232,0.16933881,0.08796703,2587.204815274265,1129.282773945392,3054.0542973622737,740.5116947792347,5449.172668023173,2376.5417164064797,0.05642940205608473,0.04394120964285965,-142.6694,95.094925,141.93335,34.31917,-25.314316,22.294634,41.013992,21.366024,-9.524373,17.120667,20.04862,18.443054,-10.930538,11.114333,12.093041,12.834007,-3.8575432,9.635332,4.4606385,10.061836,-2.0822551,8.410658,1.4118103,8.294327,-1.33567,7.7158594,-0.6351578,7.512207,-0.06643875,7.5159183,-1.4175187,6.610716,0.8497671,7.1683555,-4.0711064,6.387626,0.118072934,6.8901157,-4.7922797,6.7094665,0.30145997,7.003304,-5.2058687,7.283402,-0.6240823,7.165088,-5.547986,6.779061,-0.41428334,7.751536,-3.8860526,7.0563765,-1.2926342,7.136519,1.737655,7.8588953,1.1261855,8.0074,0.53469014,7.2270284,-1.7870581,6.7858415,-1.0821942,7.185583,-3.7011504,6.731449,-3.7819142,6.253497,-5.386703,5.534946,-0.1118636,6.357615,-0.9474902,7.0870614,2.4167936,7.4560266,-1.1848979,6.8850136,1.3404902,6.316953,0.39871904,0.30404037,0.42457208,0.2606455,0.5518352,0.35112974,0.41998035,0.25609598,0.42839545,0.29664075,0.41459382,0.30744287,0.39855814,0.26900572,0.45397314,0.32248133,0.45206788,0.26642188,0.55679923,0.33324772,0.36268318,0.2420249,0.3350246,0.25063524,0.1262196988491025,0.12876083881816403,0.0761935545247064,0.10137132155376015,-0.02706587597585358,0.1211055715337024,-0.00861309196732263,0.12658061045555657,-0.002400443190705092,0.05100743932370845,-0.0016130740137506306,0.048196754839470175,0.45975488,0.27402896,21.343276503609303,14.343851383228099
337740447894081536,0.121800356,0.06028454,2751.034443645942,1212.8415448335281,3069.551871725337,777.147473439891,5393.787585474597,2688.00536181433,0.07361001342934936,0.048997856917435655,-171.08647,97.973526,139.9337,34.6565,-29.313416,24.25537,34.037205,26.752968,-7.7143292,16.968006,20.33634,18.056522,-22.962141,13.754516,11.17067,14.048914,-6.339945,10.930362,0.69874626,14.431524,-7.085769,9.395342,-2.0148075,11.86907,-2.510125,9.126673,-2.9669485,10.389313,-0.7692583,9.05619,-6.3519545,8.704866,-3.540728,9.344148,-4.2399397,8.400562,1.1260111,9.022958,-4.630092,9.166477,0.09048052,9.176034,-3.4746473,9.024914,-1.2659553,9.94798,-3.3064604,8.58968,1.6742126,9.55981,0.86044466,9.343898,1.7544943,8.355257,-2.0985122,7.889897,0.110088795,8.286567,-1.4485897,7.8698754,-3.285517,7.0625267,-1.859636,6.8996916,-2.8329747,7.6692095,-0.092310995,7.890768,-0.2822501,7.585235,0.36032104,7.1616945,-3.1124809,8.459333,-0.6668337,7.904477,-2.3248136,7.7997994,0.4590022,6.88415,0.32597178,0.27389824,0.3671045,0.2789546,0.47530165,0.3453987,0.40497646,0.2656752,0.48485756,0.34784275,0.33675018,0.2502482,0.38673055,0.31167477,0.36840096,0.306653,0.321293,0.2691367,0.38330802,0.32032156,0.34568378,0.26723772,0.41105843,0.31271806,0.2106546279770364,0.14987681376762751,-0.03244182971209467,0.14672516637523503,0.0436132217814077,0.1370414737599962,0.0011382130498493992,0.16879912475653028,0.0003378924512224563,0.06512148032631539,-0.0026321953907478633,0.06274198022478966,0.40628737,0.28535482,22.38809159365801,14.448645245767896
337740458514059264,0.089137435,0.047904316,1551.9095029485673,1209.4586941366097,2277.705697259871,717.040756692898,3110.250438191819,2326.864631959854,0.02963093970589842,0.05290735466927191,-298.52835,84.59989,148.4022,43.7557,2.2007377,26.973232,50.0191,30.856483,10.920122,19.028128,14.974299,12.66136,9.25971,10.616362,5.878435,10.007275,2.1354852,9.614087,-4.1733236,10.767328,6.7832003,10.71394,4.3863554,9.947224,-1.6137335,11.332024,0.5117616,9.063611,1.2825947,8.776458,-2.6046104,8.97606,1.6051326,8.256711,3.895374,8.967941,-1.2067928,8.436255,-1.2294246,7.2473707,-1.1938368,7.699155,-2.2176178,7.959535,1.8389554,8.041852,2.0294693,8.219482,4.6768155,9.24255,2.2031598,9.981509,1.4009402,9.207961,0.9199313,9.373507,-3.0923712,8.025553,0.31945455,7.752472,-1.3796197,7.186717,-1.5189486,6.647454,-0.42563438,7.021224,1.7116925,8.259835,2.5322661,7.6452785,-0.32959867,7.5070715,0.32607275,8.071602,-1.7332577,8.220537,-0.6086288,7.332822,1.4435319,5.781303,0.4163965,0.2870147,0.41047245,0.2651197,0.49415353,0.31844738,0.5132385,0.2865908,0.56461,0.34928492,0.49536347,0.3086519,0.47610173,0.294171,0.47716442,0.30351606,0.42681342,0.26479638,0.42853656,0.2944314,0.428753,0.27465248,0.47242507,0.3210488,0.1533186619480569,0.1682525121927809,0.01322029329444075,0.17672508938546924,0.026440580687018413,0.1334463896260977,0.021293160339153985,0.25270876452216656,0.001308850169725812,0.08314589191565865,-0.027489484167518466,0.07453290706320165,0.35499424,0.28477606,21.948274400390616,13.670297633199535
337740477803663360,0.15068518,0.09305105,2010.628543460974,1257.9424593537187,2587.4368041098046,829.2999841098493,3893.969317267605,2560.7008401189332,0.04357292974106471,0.051247704467325,-198.02678,99.59283,146.1899,37.34404,-8.856825,29.229696,24.015991,24.115267,3.1633043,16.332354,16.977812,16.973871,-5.5157084,12.422988,6.9903846,13.926872,-2.9398773,11.365239,-0.39644337,12.26775,0.83455855,10.343315,1.9211726,11.011566,-1.5677345,10.006916,-2.1461964,9.744781,-0.8152233,9.945617,-1.4662777,9.296341,-0.3135852,8.818766,-2.8642936,8.549797,-0.595527,8.303937,-3.4749255,7.7574744,-1.3477631,9.964703,-2.2487853,9.463507,1.8530858,8.357536,-3.669166,9.597919,-4.0841346,10.380225,-3.890526,9.182851,-0.5923391,10.113556,0.7236925,9.464167,-1.286146,7.493624,0.15415809,8.084552,-0.14504112,7.5691366,-0.85850966,7.2595463,-1.242312,6.926724,-0.5905298,7.2645426,-3.7353678,8.296393,-4.353467,8.140694,-5.619031,6.554295,-1.3428566,7.8886256,-0.60305595,7.757243,-0.4248354,6.9876842,0.39964694,0.27392328,0.4626278,0.34470963,0.36624306,0.25095594,0.44175485,0.31640783,0.4116423,0.31473094,0.35764292,0.27621314,0.4212604,0.31848612,0.4146186,0.27680868,0.55157655,0.34859282,0.40031183,0.28423157,0.36242518,0.2736582,0.4320936,0.3245475,-0.06996232954142759,0.19509881786648187,-0.20870367109639673,0.1570886717291323,-0.026074042951653238,0.19661050218594633,0.08349281378196957,0.18084617701648684,-0.004676053503894424,0.08761158861706042,-0.014985633592923478,0.07867610357454964,0.35148853,0.28936288,23.31382463364687,13.46215367484644
337740496376041472,0.18321581,0.10986234,2629.9678182513107,1475.6250959066508,3238.686629846669,814.2066257792624,5573.640420217437,3021.0488842090763,0.054388971860845174,0.06960057937230656,-172.22263,111.36467,132.1163,35.022385,-4.3671865,28.759317,31.374916,20.214645,-9.458907,17.258224,13.622669,15.461144,-10.581498,13.11103,14.656427,17.745546,-9.239586,12.223903,4.318697,13.388482,1.0045067,10.162158,-4.4131513,11.228655,1.7813357,10.044472,-3.7144415,11.372124,-2.7931795,12.051577,-2.7182527,10.242069,-5.468997,11.670124,-3.9867637,9.502636,2.7038245,9.830647,-4.844432,9.712945,1.5258471,11.2346115,-0.25730285,10.052519,4.380524,11.133819,-0.8702164,9.580279,-2.004347,10.206152,-2.8698583,10.589013,-0.0789529,9.869899,-0.6717934,8.405212,-1.6075108,8.844932,0.3355802,8.607744,-2.165296,9.404907,-1.8236067,8.626013,-3.0161505,8.351854,-0.08191652,8.289857,-6.312077,8.827846,-4.7656035,8.248396,-4.1700273,7.2916193,-1.9398297,8.224846,-0.5964863,9.031175,0.13762946,7.742655,0.30158424,0.2690056,0.40508553,0.38452086,0.27964205,0.2473972,0.31125098,0.29199278,0.30857486,0.33369955,0.2375295,0.22327289,0.31705374,0.34624046,0.29114038,0.24775422,0.41536638,0.3852746,0.28086606,0.27008876,0.24304383,0.2658271,0.3071081,0.31574333,-0.0836661029399723,0.22143784666881614,-0.2748858391837268,0.17863913523022368,-0.04166378564021273,0.262720137595372,0.07198546437214802,0.2300788081105743,0.0012862775339825068,0.11198441480165783,-0.020676504480438406,0.09771563475230031,0.29871297,0.2924736,24.107544255446996,13.861018200297082
